Specifications,Crash Time,Release Time,Adjusted Time
Perfect,-,3:04.82,3:05.37
Arduano: R9 3900X @ 4.6 GHz,0:05.86,3:10.68,3:11.23
Raphtalia: R7 2700X @ 4.5 GHz,0:06.00,3:10.82,3:11.37
Poke Hydre: i5-6500 @ 4.85 GHz,0:06.23,3:11.05,3:11.60
Supermines: R7 2700X @ Stock (4.3 GHz),0:06.50,3:11.32,3:11.87
umbry: R7 2700X @ Stock (4.3 GHz),0:06.55,3:11.37,3:11.92
Carlos S. M.: R5 3600 @ 4.2 GHz,0:06.66,3:11.48,3:12.03
BlackHawk 580: i7-8700K @ 5.2 GHz,0:06.83,3:11.65,3:12.20
AwesomeGamer89: i7-8700K @ 5 GHz,0:06.96,3:11.78,3:12.33
People11: i7-7700K @ 4.7 GHz,0:07.06,3:11.88,3:12.43
BKB10: R7 2700X @ 4 GHz,0:07.21,3:12.03,3:12.58
Niko MIDI: i7-7700K @ 5 GHz,0:07.41,3:12.23,3:12.78
Jesses Treehouse: i7-7700K @ 4.4 GHz,0:07.48,3:12.30,3:12.85
ND: i9-9900K @ 5.2 GHz,0:07.58,3:12.40,3:12.95
dcsm: i7-6700K @ 4.7 GHz,0:07.60,3:12.42,3:12.97
Carlos S. M.: i7-3770K @ 5.1 GHz,0:07.75,3:12.57,3:13.12
Arduano: TR 1900X @ Stock (4 GHz),0:08.08,3:12.90,3:13.45
Natsuki8000: i7-4790K @ 4.6 GHz,0:08.68,3:13.50,3:14.05
Captain Redstone: R5 2400G @ Stock (3.9 GHz),0:08.73,3:13.55,3:14.10
Zhekan4ik Play: i5-8600K @ 4.2 GHz,0:08.88,3:13.70,3:14.25
Carlos S. M.: i7-7700HQ @ Stock (3.8 GHz),0:09.30,3:14.12,3:14.67
YMI Black Moon: i7-8700 @ Stock (4.6 GHz),0:09.45,3:14.27,3:14.82
Orangepaprika 67: R5 1500X @ Stock (3.7 GHz),0:09.55,3:14.37,3:14.92
Carlos S. M.: C2D E8600 @ 4.4 GHz,0:09.58,3:14.40,3:14.95
Kelly: i3-9100F @ Stock (4.2 GHz),0:09.63,3:14.45,3:15.00
ArchaeoPX: R5 2400G @ Stock (3.9 GHz),0:09.81,3:14.63,3:15.18
Gavin Nielsen: i3-6100 @ 3.7 GHz,0:10.18,3:15.00,3:15.55
Kelly: i3-8100 @ 3.6 GHz,0:11.31,3:16.13,3:16.68
HDSQ: i5-7600 @ Stock (4.1 GHz),0:11.85,3:16.67,3:17.22
Hans5958: i3-8130U @ Stock (3.4 GHz),0:12.15,3:16.97,3:17.52
WoofFace4000: i7-4710HQ @ Stock (3.5 GHz),0:12.66,3:17.48,3:18.03
Carlos S. M.: i3-3220 @ 3.3 GHz,0:13.48,3:18.30,3:18.85
Dmitry's Music: i5-3470 @ Stock (3.6 GHz),0:14.08,3:18.90,3:19.45
Carlos S. M.: Celeron G1840 @ 2.8 GHz,0:17.15,3:21.97,3:22.52
HDSQ: i7-870 @ 4.1 GHz,0:18.78,3:23.60,3:24.15
DragonPianist: i5-7200U @ Stock (3.1 GHz),0:29.76,3:34.58,3:35.13
Susu: i5-4300U @ Stock (2.9 GHz),0:43.16,3:47.98,3:48.53
