Specifications,Composite Time
Raphtalia: R7 2700X @ 4.5 GHz,0:17.91
Arduano: R9 3900X @ 4.6 GHz,0:18.84
Supermines: R7 2700X @ Stock (4.3 GHz),0:19.30
umbry: R7 2700X @ Stock (4.3 GHz),0:19.46
Poke Hydre: i5-6500 @ 4.85 GHz,0:20.19
Carlos S. M.: R5 3600 @ 4.2 GHz,0:21.16
BKB10: R7 2700X @ 4 GHz,0:21.52
BlackHawk 580: i7-8700K @ 5.2 GHz,0:22.38
Arduano: TR 1900X @ Stock (4 GHz),0:22.79
People11: i7-7700K @ 4.7 GHz,0:23.17
Carlos S. M.: i7-3770K @ 5.1 GHz,0:23.31
Niko MIDI: i7-7700K @ 5 GHz,0:23.87
dcsm: i7-6700K @ 4.7 GHz,0:24.68
Jesses Treehouse: i7-7700K @ 4.4 GHz,0:24.83
AwesomeGamer89: i7-8700K @ 5 GHz,0:25.46
ND: i9-9900K @ 5.2 GHz,0:25.66
Captain Redstone: R5 2400G @ Stock (3.9 GHz),0:25.69
Natsuki8000: i7-4790K @ 4.6 GHz,0:26.13
ArchaeoPX: R5 2400G @ Stock (3.9 GHz),0:27.92
Orangepaprika 67: R5 1500X @ Stock (3.7 GHz),0:28.00
Zhekan4ik Play: i5-8600K @ 4.2 GHz,0:28.23
Carlos S. M.: i7-7700HQ @ Stock (3.8 GHz),0:28.50
Gavin Nielsen: i3-6100 @ 3.7 GHz,0:29.39
Kelly: i3-9100F @ Stock (4.2 GHz),0:30.31
YMI Black Moon: i7-8700 @ Stock (4.6 GHz),0:32.03
Carlos S. M.: C2D E8600 @ 4.4 GHz,0:32.33
HDSQ: i5-7600 @ Stock (4.1 GHz),0:35.51
Hans5958: i3-8130U @ Stock (3.4 GHz),0:35.55
Kelly: i3-8100 @ 3.6 GHz,0:36.12
WoofFace4000: i7-4710HQ @ Stock (3.5 GHz),0:36.97
Carlos S. M.: i3-3220 @ 3.3 GHz,0:38.36
Dmitry's Music: i5-3470 @ Stock (3.6 GHz),0:40.84
Carlos S. M.: Celeron G1840 @ 2.8 GHz,0:47.93
HDSQ: i7-870 @ 4.1 GHz,0:55.73
DragonPianist: i5-7200U @ Stock (3.1 GHz),1:17.19
Susu: i5-4300U @ Stock (2.9 GHz),1:56.59
