Specifications,Crash Time,Release Time,Adjusted Time
Perfect,-,2:58.47,2:59.32
Raphtalia: R7 2700X @ 4.5 GHz,0:03.66,3:02.13,3:02.98
Arduano: R9 3900X @ 4.6 GHz,0:03.73,3:02.20,3:03.05
Poke Hydre: i5-6500 @ 4.85 GHz,0:04.20,3:02.67,3:03.52
Supermines: R7 2700X @ Stock (4.3 GHz),0:04.26,3:02.73,3:03.58
umbry: R7 2700X @ Stock (4.3 GHz),0:04.33,3:02.80,3:03.65
BlackHawk 580: i7-8700K @ 5.2 GHz,0:04.36,3:02.83,3:03.68
Carlos S. M.: R5 3600 @ 4.2 GHz,0:04.55,3:03.02,3:03.87
BKB10: R7 2700X @ 4 GHz,0:04.76,3:03.23,3:04.08
Niko MIDI: i7-7700K @ 5 GHz,0:04.80,3:03.27,3:04.12
Carlos S. M.: i5-2500K @ 5.1 GHz,0:04.83,3:03.30,3:04.15
AwesomeGamer89: i7-8700K @ 5 GHz,0:04.95,3:03.42,3:04.27
YMI Black Moon: i7-8700 @ Stock (4.6 GHz),0:05.06,3:03.53,3:04.38
People11: i7-7700K @ 4.7 GHz,0:05.21,3:03.68,3:04.53
Jesses Treehouse: i7-7700K @ 4.4 GHz,0:05.28,3:03.75,3:04.60
Arduano: TR 1900X @ Stock (4 GHz),0:05.38,3:03.85,3:04.70
Carlos S. M.: i7-3770K @ 4.8 GHz,0:05.51,3:03.98,3:04.83
Captain Redstone: R5 2400G @ Stock (3.9 GHz),0:05.68,3:04.15,3:05.00
dcsm: i7-6700K @ 4.7 GHz,0:05.76,3:04.23,3:05.08
Natsuki8000: i7-4790K @ 4.6 GHz,0:05.76,3:04.23,3:05.08
ooo 000: i9-9900K @ 4.6 GHz,0:05.80,3:04.27,3:05.12
ND: i9-9900K @ 5.2 GHz,0:05.83,3:04.30,3:05.15
Carlos S. M.: i7-7700HQ @ Stock (3.8 GHz),0:06.65,3:05.12,3:05.97
Zhekan4ik Play: i5-8600K @ 4.2 GHz,0:06.73,3:05.20,3:06.05
Orangepaprika 67: R5 1500X @ Stock (3.7 GHz),0:06.98,3:05.45,3:06.30
Kelly: i3-9100F @ Stock (4.2 GHz),0:07.20,3:05.67,3:06.52
HDSQ: i5-7600 @ Stock (4.1 GHz),0:07.33,3:05.80,3:06.65
Kelly: i3-8100 @ 3.6 GHz,0:07.41,3:05.88,3:06.73
ArchaeoPX: R5 2400G @ Stock (3.9 GHz),0:07.43,3:05.90,3:06.75
Gavin Nielsen: i3-6100 @ 3.7 GHz,0:07.60,3:06.07,3:06.92
Carlos S. M.: C2D E8600 @ 4.4 GHz,0:08.45,3:06.92,3:07.77
Carlos S. M.: i3-3220 @ 3.3 GHz,0:08.76,3:07.23,3:08.08
Carlos S. M.: i7-930 @ 4.63 GHz,0:08.86,3:07.33,3:08.18
WoofFace4000: i7-4710HQ @ Stock (3.5 GHz),0:09.18,3:07.65,3:08.50
Dmitry's Music: i5-3470 @ Stock (3.6 GHz),0:09.78,3:08.25,3:09.10
Carlos S. M.: Celeron G1840 @ 2.8 GHz,0:09.90,3:08.37,3:09.22
Susu: i5-4300U @ Stock (2.9 GHz),0:28.18,3:26.65,3:27.50
