Specifications,Crash Time,Release Time,Adjusted Time
Perfect,-,3:38.35,3:38.40
Arduano: R9 3900X @ 4.6 GHz,0:03.50,3:41.85,3:41.90
Raphtalia: R7 2700X @ 4.5 GHz,0:03.63,3:41.98,3:42.03
Carlos S. M.: R5 3600 @ 4.2 GHz,0:04.00,3:42.35,3:42.40
Poke Hydre: i5-6500 @ 4.85 GHz,0:04.00,3:42.35,3:42.40
Supermines: R7 2700X @ Stock (4.3 GHz),0:04.10,3:42.45,3:42.50
BKB10: R7 2700X @ 4 GHz,0:04.55,3:42.90,3:42.95
Carlos S. M.: i5-2500K @ 5.2 GHz,0:04.65,3:43.00,3:43.05
Carlos S. M.: i7-3770K @ 5.1 GHz,0:04.78,3:43.13,3:43.18
Niko MIDI: i7-7700K @ 5 GHz,0:04.80,3:43.15,3:43.20
BlackHawk 580: i7-8700K @ 5.2 GHz,0:04.90,3:43.25,3:43.30
People11: i7-7700K @ 4.7 GHz,0:05.00,3:43.35,3:43.40
Arduano: TR 1900X @ Stock (4 GHz),0:05.07,3:43.42,3:43.47
Jesses Treehouse: i7-7700K @ 4.4 GHz,0:05.12,3:43.47,3:43.52
ND: i9-9900K @ 5.2 GHz,0:05.15,3:43.50,3:43.55
YMI Black Moon: i7-8700 @ Stock (4.6 GHz),0:05.15,3:43.50,3:43.55
dcsm: i7-6700K @ 4.7 GHz,0:05.23,3:43.58,3:43.63
Captain Redstone: R5 2400G @ Stock (3.9 GHz),0:05.45,3:43.80,3:43.85
Zhekan4ik Play: i5-8600K @ 4.2 GHz,0:06.08,3:44.43,3:44.48
Orangepaprika 67: R5 1500X @ Stock (3.7 GHz),0:06.30,3:44.65,3:44.70
Carlos S. M.: i7-7700HQ @ Stock (3.8 GHz),0:06.30,3:44.65,3:44.70
AwesomeGamer89: i7-8700K @ 5 GHz,0:06.40,3:44.75,3:44.80
Kelly: i3-9100F @ Stock (4.2 GHz),0:06.50,3:44.85,3:44.90
Kelly: i3-8100 @ 3.6 GHz,0:06.92,3:45.27,3:45.32
ArchaeoPX: R5 2400G @ Stock (3.9 GHz),0:07.12,3:45.47,3:45.52
Gavin Nielsen: i3-6100 @ 3.7 GHz,0:07.30,3:45.65,3:45.70
HDSQ: i5-7600 @ Stock (4.1 GHz),0:08.65,3:47.00,3:47.05
Carlos S. M.: C2D E8600 @ 4.4 GHz,0:09.23,3:47.58,3:47.63
Carlos S. M.: i3-3220 @ 3.3 GHz,0:09.62,3:47.97,3:48.02
Carlos S. M.: i7-930 @ 4.63 GHz,0:10.15,3:48.50,3:48.55
Dmitry's Music: i5-3470 @ Stock (3.6 GHz),0:10.82,3:49.17,3:49.22
Natsuki8000: i7-4790K @ 4.6 GHz,0:11.98,3:50.33,3:50.38
Lucas9810: FX 4130 @ 4.6 GHz,0:12.18,3:50.53,3:50.58
Carlos S. M.: Celeron G1840 @ 2.8 GHz,0:13.55,3:51.90,3:51.95
HDSQ: i7-6500U @ Stock (3.1 GHz),0:24.67,4:03.02,4:03.07
DragonPianist: i5-7200U @ Stock (3.1 GHz),0:26.45,4:04.80,4:04.85
Susu: i5-4300U @ Stock (2.9 GHz),0:50.77,4:29.12,4:29.17
