Specifications,Composite Time
Arduano: R9 3900X @ 4.6 GHz,0:12.49
Carlos S. M.: R5 3600 @ 4.2 GHz,0:14.83
Raphtalia: R7 2700X @ 4.5 GHz,0:15.71
Supermines: R7 2700X @ Stock (4.3 GHz),0:18.02
BKB10: R7 2700X @ 4 GHz,0:20.05
Poke Hydre: i5-6500 @ 4.85 GHz,0:22.77
Captain Redstone: R5 2400G @ Stock (3.9 GHz),0:24.31
BlackHawk 580: i7-8700K @ 5.2 GHz,0:24.57
Niko MIDI: i7-7700K @ 5 GHz,0:25.56
ND: i9-9900K @ 5.2 GHz,0:26.13
People11: i7-7700K @ 4.7 GHz,0:26.19
dcsm: i7-6700K @ 4.7 GHz,0:28.42
Jesses Treehouse: i7-7700K @ 4.4 GHz,0:28.61
ArchaeoPX: R5 2400G @ Stock (3.9 GHz),0:28.76
Orangepaprika 67: R5 1500X @ Stock (3.7 GHz),0:28.97
YMI Black Moon: i7-8700 @ Stock (4.6 GHz),0:29.26
Arduano: TR 1900X @ Stock (4 GHz),0:31.52
AwesomeGamer89: i7-8700K @ 5 GHz,0:32.51
Zhekan4ik Play: i5-8600K @ 4.2 GHz,0:32.79
Kelly: i3-9100F @ Stock (4.2 GHz),0:34.79
Carlos S. M.: i7-7700HQ @ Stock (3.8 GHz),0:36.62
Gavin Nielsen: i3-6100 @ 3.7 GHz,0:37.88
Kelly: i3-8100 @ 3.6 GHz,0:38.86
HDSQ: i5-7600 @ Stock (4.1 GHz),0:41.66
Carlos S. M.: C2D E8600 @ 4.4 GHz,0:45.40
Carlos S. M.: i5-2500K @ 5.2 GHz,0:45.47
Carlos S. M.: i7-3770K @ 5.1 GHz,0:46.55
Natsuki8000: i7-4790K @ 4.6 GHz,0:59.81
Carlos S. M.: i7-930 @ 4.63 GHz,1:06.29
Lucas9810: FX 4130 @ 4.6 GHz,1:26.59
Carlos S. M.: i3-3220 @ 3.3 GHz,1:27.59
Dmitry's Music: i5-3470 @ Stock (3.6 GHz),1:27.73
Carlos S. M.: Celeron G1840 @ 2.8 GHz,1:37.99
HDSQ: i7-6500U @ Stock (3.1 GHz),1:45.26
DragonPianist: i5-7200U @ Stock (3.1 GHz),1:52.55
Susu: i5-4300U @ Stock (2.9 GHz),4:12.09
