Specifications,Crash Time,Release Time,Adjusted Time
Perfect,-,3:41.88,3:43.31
Arduano: R9 3900X @ 4.6 GHz,0:06.42,3:48.30,3:49.73
Raphtalia: R7 2700X @ 4.5 GHz,0:06.65,3:48.53,3:49.96
BlackHawk 580: i7-8700K @ 5.2 GHz,0:06.80,3:48.68,3:50.11
Poke Hydre: i5-6500 @ 4.85 GHz,0:06.90,3:48.78,3:50.21
Carlos S. M.: R5 3600 @ 4.2 GHz,0:06.97,3:48.85,3:50.28
Supermines: R7 2700X @ Stock (4.3 GHz),0:07.17,3:49.05,3:50.48
Niko MIDI: i7-7700K @ 5 GHz,0:07.29,3:49.17,3:50.60
AwesomeGamer89: i7-8700K @ 5 GHz,0:07.35,3:49.23,3:50.66
ND: i9-9900K @ 5.2 GHz,0:07.55,3:49.43,3:50.86
People11: i7-7700K @ 4.7 GHz,0:07.67,3:49.55,3:50.98
Carlos S. M.: i5-2500K @ 4.8 GHz,0:07.79,3:49.67,3:51.10
dcsm: i7-6700K @ 4.7 GHz,0:07.85,3:49.73,3:51.16
BKB10: R7 2700X @ 4 GHz,0:08.02,3:49.90,3:51.33
Arduano: TR 1900X @ Stock (4 GHz),0:08.04,3:49.92,3:51.35
YMI Black Moon: i7-8700 @ Stock (4.6 GHz),0:08.05,3:49.93,3:51.36
Natsuki8000: i7-4790K @ 4.6 GHz,0:08.20,3:50.08,3:51.51
Jesses Treehouse: i7-7700K @ 4.4 GHz,0:08.24,3:50.12,3:51.55
Captain Redstone: R5 2400G @ Stock (3.9 GHz),0:08.95,3:50.83,3:52.26
Kelly: i3-9100F @ Stock (4.2 GHz),0:09.00,3:50.88,3:52.31
Carlos S. M. i7-3770K @ 4.8 Ghz,0:09.02,3:50.90,3:52.33
Carlos S. M.: i7-7700HQ @ Stock (3.8 GHz),0:09.15,3:51.03,3:52.46
Zhekan4ik Play: i5-8600K @ 4.2 GHz,0:09.29,3:51.17,3:52.60
HDSQ: i5-7600 @ Stock (4.1 GHz),0:09.39,3:51.27,3:52.70
Orangepaprika 67: R5 1500X @ Stock (3.7 GHz),0:09.55,3:51.43,3:52.86
Xian: i5-8500 @ Stock (4.1 GHz),0:09.62,3:51.50,3:52.93
Kelly: i3-8100 @ 3.6 GHz,0:09.64,3:51.52,3:52.95
Gavin Nielsen: i3-6100 @ 3.7 GHz,0:10.04,3:51.92,3:53.35
Carlos S. M.: i3-3220 @ 3.3 GHz,0:10.45,3:52.33,3:53.76
WoofFace4000: i7-4710HQ @ Stock (3.5 GHz),0:10.92,3:52.80,3:54.23
Dmitry's Music: i5-3470 @ Stock (3.6 GHz),0:11.67,3:53.55,3:54.98
Carlos S. M.: C2D E8600 @ 4.4 GHz,0:11.80,3:53.68,3:55.11
