Specifications,Composite Time
Arduano: R9 3900X @ 4.6 GHz,0:14.50
Raphtalia: R7 2700X @ 4.5 GHz,0:15.06
BlackHawk 580: i7-8700K @ 5.2 GHz,0:15.15
Carlos S. M.: R5 3600 @ 4.2 GHz,0:15.72
AwesomeGamer89: i7-8700K @ 5 GHz,0:15.91
Niko MIDI: i7-7700K @ 5 GHz,0:16.37
People11: i7-7700K @ 4.7 GHz,0:16.43
ND: i9-9900K @ 5.2 GHz,0:16.96
dcsm: i7-6700K @ 4.7 GHz,0:17.33
Poke Hydre: i5-6500 @ 4.85 GHz,0:17.41
Jesses Treehouse: i7-7700K @ 4.4 GHz,0:17.55
BKB10: R7 2700X @ 4 GHz,0:17.60
YMI Black Moon: i7-8700 @ Stock (4.6 GHz),0:17.70
Supermines: R7 2700X @ Stock (4.3 GHz),0:18.25
Natsuki8000: i7-4790K @ 4.6 GHz,0:18.36
Arduano: TR 1900X @ Stock (4 GHz),0:18.42
Carlos S. M. i7-3770K @ 4.8 Ghz,0:18.43
Zhekan4ik Play: i5-8600K @ 4.2 GHz,0:20.47
Carlos S. M.: i5-2500K @ 4.8 GHz,0:21.37
Xian: i5-8500 @ Stock (4.1 GHz),0:21.63
Orangepaprika 67: R5 1500X @ Stock (3.7 GHz),0:21.83
Kelly: i3-9100F @ Stock (4.2 GHz),0:21.95
HDSQ: i5-7600 @ Stock (4.1 GHz),0:22.14
Carlos S. M.: i7-7700HQ @ Stock (3.8 GHz),0:22.48
Kelly: i3-8100 @ 3.6 GHz,0:23.22
Carlos S. M.: C2D E8600 @ 4.4 GHz,0:25.36
WoofFace4000: i7-4710HQ @ Stock (3.5 GHz),0:26.80
Dmitry's Music: i5-3470 @ Stock (3.6 GHz),0:29.35
Carlos S. M.: i3-3220 @ 3.3 GHz,0:35.33
Gavin Nielsen: i3-6100 @ 3.7 GHz,0:45.93
Captain Redstone: R5 2400G @ Stock (3.9 GHz),0:46.35
